Chassis Heave,Chassis Angle,Front Ride Height,Rear Ride Height,Height Difference
-0.1429,-1.8131,6.450665790239224,4.097848638149892,2.352817152089332
-0.1429,-1.73822,6.38581851628061,4.157802867608806,2.2280156486718035
-0.1429,-1.66335,6.320977331062688,4.2177514677523416,2.103225863310347
-0.1429,-1.58847,6.256125024330476,4.277710350237429,1.978414674093047
-0.1429,-1.51359,6.191270367184959,4.337671405785625,1.8535989613993342
-0.1429,-1.43871,6.126413470397502,4.397634531983805,1.7287789384136971
-0.1429,-1.36384,6.06156310660935,4.457591618129481,1.6039714884798695
-0.1429,-1.28896,5.996702063129336,4.517558578131951,1.479143484997385
-0.1429,-1.21408,5.931839112328878,4.577527301538191,1.354311810790687
-0.1429,-1.13921,5.866983027601492,4.637489676950208,1.2294933506512837
-0.1429,-1.06433,5.802116594737546,4.697461619681191,1.1046549750563548
-0.1429,-0.98945,5.7372485869039735,4.757435018542624,0.9798135683613491
-0.1429,-0.91457,5.6723791148949445,4.817409771100303,0.8549693437946413
-0.1429,-0.8397,5.607516952897227,4.8773777652228345,0.7301391876743928
-0.1429,-0.76482,5.542644885088151,4.937354917714731,0.6052899673734204
-0.1429,-0.68994,5.4777716854855765,4.997333116600761,0.4804385688848152
-0.1429,-0.61507,5.412906128713867,5.057304249344957,0.3556018793689093
-0.1429,-0.54019,5.348030998049304,5.117284233584889,0.23074676446441522
-0.1429,-0.46531,5.283155067990597,5.1772649569007605,0.10589011108983648
-0.1429,-0.39043,5.218278449345447,5.237246316845855,-0.018967867500408353
-0.1429,-0.31556,5.153409917111877,5.297220200538737,-0.14381028342685998
-0.1429,-0.24068,5.088532253776419,5.3572025263471375,-0.2686702725707182
-0.1429,-0.1658,5.023654234269119,5.417185181452469,-0.3935309471833497
-0.1429,-0.09093,4.95878463371089,5.4771600528596815,-0.5183754191487919
-0.1429,-0.01605,4.893906234304704,5.537143059198669,-0.6432368248939646
-0.1429,0.05883,4.829027811146752,5.597126087497233,-0.7680982763504804
-0.1429,0.13371,4.7641494750489946,5.657109035304722,-0.8929595602557274
-0.1429,0.20858,4.699280001086378,5.717083789668581,-1.0178037885822029
-0.1429,0.28346,4.634402171495477,5.777066269187636,-1.1426640976921592
-0.1429,0.35834,4.569524761384198,5.837048360878863,-1.2675235994946652
-0.1429,0.43321,4.504656545635656,5.897021951967064,-1.3923654063314075
-0.1429,0.50809,4.439780306820383,5.957002960742305,-1.5172226539219222
-0.1429,0.58297,4.374904819897712,6.0169832743589255,-1.6420784544612133
-0.1429,0.65785,4.310030195674587,6.076962790370907,-1.7669325946963204
-0.1429,0.73272,4.245165208568536,6.136933396433509,-1.8917681878649732
-0.1429,0.8076,4.180292642007044,6.196911010044508,-2.0166183680374647
